customerID,Network_Type,ARPU,Customer_Segment,Churn_Probability,Recommended_Action
3462-BJQQA,4G,89.75,High Value,0.6370942796613052,SMS Retention Offer
6351-SCJKT,3G,41.35,Low Value,0.6365291394660596,SMS Retention Offer
2080-GKCWQ,4G,74.95,Medium Value,0.6361218914379487,SMS Retention Offer
6923-JHPMP,4G,80.45,Medium Value,0.6351957772888487,SMS Retention Offer
4536-PLEQY,4G,85.05,High Value,0.6351159062830806,SMS Retention Offer
3191-CSNMG,4G,80.7,Medium Value,0.6346869064276776,SMS Retention Offer
1104-TNLZA,4G,105.8,High Value,0.6304632155672186,SMS Retention Offer
4123-DVHPH,4G,88.05,High Value,0.6304367053848673,SMS Retention Offer
8714-CTZJW,4G,82.85,Medium Value,0.630120897929904,SMS Retention Offer
2262-SLNVK,4G,70.1,Medium Value,0.6300846818765632,SMS Retention Offer
5141-ZUVBH,4G,93.0,High Value,0.6300344619127779,SMS Retention Offer
0848-ZGQIJ,4G,94.65,High Value,0.6299199573191201,SMS Retention Offer
5701-YVSVF,4G,82.9,Medium Value,0.6298281164223828,SMS Retention Offer
3318-NMQXL,4G,92.0,High Value,0.6294343376040861,SMS Retention Offer
9696-RMYBA,4G,80.1,Medium Value,0.6288946320145057,SMS Retention Offer
2018-QKYGT,4G,81.05,Medium Value,0.6282787313740862,SMS Retention Offer
9927-DSWDF,4G,104.6,High Value,0.6254754828673316,SMS Retention Offer
9714-EDSUC,4G,94.9,High Value,0.6246916573073803,SMS Retention Offer
5348-CAGXB,4G,89.55,High Value,0.6232510062083341,SMS Retention Offer
0221-WMXNQ,4G,75.35,Medium Value,0.6226395002362344,SMS Retention Offer
9603-OAIHC,4G,70.05,Medium Value,0.6200137162213801,SMS Retention Offer
9133-AYJZG,4G,98.7,High Value,0.616727602625208,SMS Retention Offer
4853-OITSN,4G,89.15,High Value,0.615882162724171,SMS Retention Offer
2905-KFQUV,4G,70.4,Medium Value,0.6150372272127962,SMS Retention Offer
2792-LSHWX,4G,83.4,Medium Value,0.6126872478331673,SMS Retention Offer
8212-DJRCH,4G,90.35,High Value,0.6124909641000571,SMS Retention Offer
5956-YHHRX,4G,104.35,High Value,0.6113955692128455,SMS Retention Offer
7321-VGNKU,4G,70.35,Medium Value,0.6111511133266824,SMS Retention Offer
5442-BHQNG,4G,70.35,Medium Value,0.6111511133266824,SMS Retention Offer
9643-AVVWI,4G,80.0,Medium Value,0.6105179176917183,SMS Retention Offer
6862-CQUMB,4G,96.1,High Value,0.6094383168482623,SMS Retention Offer
6630-UJZMY,4G,83.25,Medium Value,0.6093520192491924,SMS Retention Offer
0793-TWELN,4G,80.15,Medium Value,0.6087551586985024,SMS Retention Offer
3966-HRMZA,4G,75.05,Medium Value,0.608133336571104,SMS Retention Offer
5995-SNNEW,4G,104.45,High Value,0.6073199450107377,SMS Retention Offer
4770-UEZOX,4G,74.75,Medium Value,0.6069064751654936,SMS Retention Offer
9529-OFXHY,4G,87.75,High Value,0.6067246362052845,SMS Retention Offer
9208-OLGAQ,4G,84.95,High Value,0.6060849678341923,SMS Retention Offer
7181-OQCUT,4G,103.85,High Value,0.6055419106762602,SMS Retention Offer
9717-QEBGU,4G,70.3,Medium Value,0.6055100876856567,SMS Retention Offer
7537-RBWEA,3G,25.15,Low Value,0.6048055900066965,SMS Retention Offer
7392-YYPYJ,4G,100.65,High Value,0.6043073451815419,SMS Retention Offer
8313-NDOIA,4G,104.15,High Value,0.6042061105917846,SMS Retention Offer
0315-LVCRK,4G,84.8,High Value,0.6040900858920052,SMS Retention Offer
8035-PWSEV,4G,89.25,High Value,0.6027761896374443,SMS Retention Offer
4090-KPJIP,4G,74.95,Medium Value,0.6017347686900877,SMS Retention Offer
2876-GZYZC,4G,85.95,High Value,0.601547536786835,SMS Retention Offer
6969-MVBAI,4G,90.1,High Value,0.5984519637563858,SMS Retention Offer
3717-OEAUQ,4G,70.7,Medium Value,0.5984192921294226,SMS Retention Offer
2880-FPNAE,4G,74.2,Medium Value,0.597241241913809,SMS Retention Offer
0480-BIXDE,4G,96.8,High Value,0.5964772314558349,SMS Retention Offer
4749-OJKQU,4G,75.65,Medium Value,0.596250202328904,SMS Retention Offer
4367-NHWMM,3G,24.9,Low Value,0.5956493256827852,SMS Retention Offer
2674-MIAHT,4G,80.3,Medium Value,0.5952266465027777,SMS Retention Offer
7858-GTZSP,4G,86.55,High Value,0.5951288972712585,SMS Retention Offer
5129-JLPIS,4G,105.5,High Value,0.592799482572288,SMS Retention Offer
4881-JVQOD,3G,34.55,Low Value,0.5924936874555672,SMS Retention Offer
8266-VBFQL,4G,90.4,High Value,0.5924140355822624,SMS Retention Offer
8622-ZLFKO,4G,90.75,High Value,0.5914252980662164,SMS Retention Offer
4927-WWOOZ,4G,91.45,High Value,0.590661409800786,SMS Retention Offer
2018-PZKMU,4G,103.1,High Value,0.5903110089923062,SMS Retention Offer
3797-FKOGQ,4G,86.2,High Value,0.5884635031518739,SMS Retention Offer
4482-EWFMI,4G,69.7,Medium Value,0.5879712794236955,SMS Retention Offer
4781-ZXYGU,Voice Only,20.15,Low Value,0.5866784735131058,SMS Retention Offer
8974-OVACP,Voice Only,20.15,Low Value,0.5866784735131058,SMS Retention Offer
3295-YVUSR,4G,72.6,Medium Value,0.586370990754084,SMS Retention Offer
8739-XNIKG,4G,84.0,Medium Value,0.5863198707189237,SMS Retention Offer
3197-ARFOY,4G,105.0,High Value,0.5862050132558227,SMS Retention Offer
9547-ITEFG,4G,102.6,High Value,0.5861712344351403,SMS Retention Offer
5133-POWUA,3G,45.8,Low Value,0.5854428704124514,SMS Retention Offer
6559-PDZLR,4G,98.65,High Value,0.5850764998084665,SMS Retention Offer
3855-ONCAR,4G,78.9,Medium Value,0.5847868482410669,SMS Retention Offer
0508-OOLTO,4G,71.65,Medium Value,0.5842732463931819,SMS Retention Offer
4450-DLLMH,4G,71.3,Medium Value,0.5842732463931819,SMS Retention Offer
6127-IYJOZ,3G,45.85,Low Value,0.5829428704124513,SMS Retention Offer
1197-BVMVG,4G,74.45,Medium Value,0.5827894802698392,SMS Retention Offer
0468-YRPXN,4G,98.8,High Value,0.5825869242013134,SMS Retention Offer
5339-PXDVH,4G,90.65,High Value,0.5825589744669071,SMS Retention Offer
6656-JWRQX,3G,30.55,Low Value,0.5820036453673461,SMS Retention Offer
7508-SMHXL,4G,89.0,High Value,0.5819650769708824,SMS Retention Offer
7517-LDMPS,4G,84.6,High Value,0.5814988176228636,SMS Retention Offer
1251-STYSZ,4G,80.25,Medium Value,0.5807890570035871,SMS Retention Offer
1508-DFXCU,4G,81.45,Medium Value,0.5807044838429715,SMS Retention Offer
3904-UKFRE,4G,80.1,Medium Value,0.5796541760851531,SMS Retention Offer
4583-PARNH,4G,91.55,High Value,0.5787562362746287,SMS Retention Offer
3320-VEOYC,4G,95.6,High Value,0.5780775049071383,SMS Retention Offer
7284-BUYEC,3G,50.95,Low Value,0.5766841052632812,SMS Retention Offer
0581-BXBUB,4G,72.75,Medium Value,0.5760193423534187,SMS Retention Offer
7590-VHVEG,3G,29.85,Low Value,0.5738610477376173,SMS Retention Offer
5999-LCXAO,3G,29.9,Low Value,0.5738610477376173,SMS Retention Offer
6582-OIVSP,3G,45.3,Low Value,0.573841053527785,SMS Retention Offer
2538-OIMXF,3G,24.7,Low Value,0.5736452007014097,SMS Retention Offer
2862-PFNIK,3G,24.7,Low Value,0.5736452007014097,SMS Retention Offer
0432-CAJZV,4G,90.7,High Value,0.5721151880087635,SMS Retention Offer
4706-DGAHW,3G,45.2,Low Value,0.5709644772121847,SMS Retention Offer
7252-NTGSS,3G,45.15,Low Value,0.5709644772121847,SMS Retention Offer
9505-SQFSW,3G,40.3,Low Value,0.5705499644310996,SMS Retention Offer
6198-ZFIOJ,4G,75.6,Medium Value,0.569338164272661,SMS Retention Offer
6583-KQJLK,4G,94.65,High Value,0.569324028542943,SMS Retention Offer
0916-QOFDP,4G,95.8,High Value,0.5691714630739382,SMS Retention Offer
6215-NQCPY,4G,99.7,High Value,0.5679668929751063,SMS Retention Offer
5429-LWCMV,4G,89.15,High Value,0.5678673163666415,SMS Retention Offer
0139-IVFJG,4G,90.35,High Value,0.5660035117110155,SMS Retention Offer
0225-ZORZP,4G,84.3,Medium Value,0.5653952780222492,SMS Retention Offer
3413-BMNZE,3G,45.25,Low Value,0.565025779894177,SMS Retention Offer
3577-AMVUX,3G,55.05,Low Value,0.5649900962761961,SMS Retention Offer
3278-FSIXX,3G,45.25,Low Value,0.5647914876165677,SMS Retention Offer
1754-GKYPY,4G,89.75,High Value,0.5641187995102556,SMS Retention Offer
2897-DOVND,4G,69.8,Medium Value,0.5632373668800793,SMS Retention Offer
2139-FQHLM,4G,89.95,High Value,0.5621531197605424,SMS Retention Offer
3524-WQDSG,4G,99.3,High Value,0.5610987886114608,SMS Retention Offer
6693-FRIRW,4G,101.3,High Value,0.5607682891113341,SMS Retention Offer
1173-XZPYF,4G,89.2,High Value,0.560706231837136,SMS Retention Offer
2665-NPTGL,4G,98.1,High Value,0.5597806743218902,SMS Retention Offer
7714-YXSMB,4G,100.5,High Value,0.5592563801651921,SMS Retention Offer
8800-JOOCF,4G,84.05,Medium Value,0.559104544203611,SMS Retention Offer
9094-AZPHK,4G,100.15,High Value,0.5589334394140996,SMS Retention Offer
4299-SIMNS,4G,81.15,Medium Value,0.558440952656479,SMS Retention Offer
3588-WSTTJ,4G,99.05,High Value,0.5584369304952898,SMS Retention Offer
5968-VXZLG,3G,46.6,Low Value,0.5581812826455971,SMS Retention Offer
9050-IKDZA,4G,81.5,Medium Value,0.5580909344109241,SMS Retention Offer
6986-IXNDM,4G,92.9,High Value,0.5567913942297302,SMS Retention Offer
2800-VEQXM,4G,74.75,Medium Value,0.5566659538809864,SMS Retention Offer
2688-BHGOG,4G,79.55,Medium Value,0.5549596494440567,SMS Retention Offer
6380-ARCEH,Voice Only,20.2,Low Value,0.5549555674202304,SMS Retention Offer
7310-EGVHZ,Voice Only,20.2,Low Value,0.5549555674202304,SMS Retention Offer
8048-DSDFQ,Voice Only,20.2,Low Value,0.5549555674202304,SMS Retention Offer
3247-MHJKM,Voice Only,20.2,Low Value,0.5549555674202304,SMS Retention Offer
6034-YMTOB,4G,75.65,Medium Value,0.5548019762989731,SMS Retention Offer
2123-AGEEN,4G,84.35,Medium Value,0.553976041464449,SMS Retention Offer
5294-DMSFH,4G,87.8,High Value,0.5536385942981554,SMS Retention Offer
6888-SBYAI,3G,50.7,Low Value,0.5535895562212884,SMS Retention Offer
6030-REHUX,4G,110.85,High Value,0.5535801596192219,SMS Retention Offer
3312-UUMZW,4G,98.85,High Value,0.5534177913233208,SMS Retention Offer
6088-BXMRG,4G,98.85,High Value,0.5534177913233208,SMS Retention Offer
0265-PSUAE,4G,100.7,High Value,0.5533299471706471,SMS Retention Offer
0112-QAWRZ,4G,90.8,High Value,0.5530709292245208,SMS Retention Offer
1319-YLZJG,4G,84.6,High Value,0.5515026430309686,SMS Retention Offer
6435-SRWBJ,4G,82.75,Medium Value,0.5510251386927087,SMS Retention Offer
5948-UJZLF,3G,49.25,Low Value,0.5509983762033905,SMS Retention Offer
8805-JNRAZ,3G,49.2,Low Value,0.5509983762033905,SMS Retention Offer
7363-QTBIW,4G,79.75,Medium Value,0.5505263766236872,SMS Retention Offer
0641-EVBOJ,4G,82.3,Medium Value,0.5499253099238435,SMS Retention Offer
4947-DSMXK,4G,97.7,High Value,0.5495841834409495,SMS Retention Offer
0187-QSXOE,4G,89.0,High Value,0.5495020915262063,SMS Retention Offer
9129-UXERG,4G,103.6,High Value,0.5492538338800512,SMS Retention Offer
4115-NZRKS,4G,89.15,High Value,0.5487282820023968,SMS Retention Offer
7794-JASDG,3G,50.75,Low Value,0.5482562228879551,SMS Retention Offer
2103-ZRXFN,3G,50.75,Low Value,0.5482562228879551,SMS Retention Offer
7009-LGECI,3G,50.55,Low Value,0.5474826777209998,SMS Retention Offer
0168-XZKBB,4G,86.85,High Value,0.5467528669185767,SMS Retention Offer
1580-BMCMR,4G,87.3,High Value,0.5463058905011685,SMS Retention Offer
5365-LLFYV,3G,45.85,Low Value,0.5451291558751159,SMS Retention Offer
7754-IXRMC,3G,45.35,Low Value,0.5449521646388962,SMS Retention Offer
6833-JMZYP,4G,94.0,High Value,0.5438038091502753,SMS Retention Offer
0928-XUTSN,4G,80.5,Medium Value,0.5425134053289882,SMS Retention Offer
6185-TASNN,3G,46.3,Low Value,0.5420002594575741,SMS Retention Offer
9137-UIYPG,4G,106.9,High Value,0.5417280919381169,SMS Retention Offer
4860-IJUDE,4G,73.75,Medium Value,0.541620820945203,SMS Retention Offer
3211-AAPKX,4G,98.55,High Value,0.5404193092076067,SMS Retention Offer
2027-CWDNU,4G,85.6,High Value,0.5404191824032526,SMS Retention Offer
9588-OZDMQ,3G,45.0,Low Value,0.540364665154737,SMS Retention Offer
5271-DBYSJ,4G,79.15,Medium Value,0.539861230104345,SMS Retention Offer
4660-IRIBM,4G,87.9,High Value,0.5396805058889751,SMS Retention Offer
3496-LFSZU,4G,70.5,Medium Value,0.5395891366791518,SMS Retention Offer
0620-DLSLK,4G,81.9,Medium Value,0.53918088377067,SMS Retention Offer
9058-MJLZC,4G,94.6,High Value,0.5386321774754905,SMS Retention Offer
0577-WHMEV,4G,90.7,High Value,0.5381886963599637,SMS Retention Offer
9402-ORRAH,4G,91.5,High Value,0.537984164310354,SMS Retention Offer
7952-OBOYL,4G,89.85,High Value,0.5373721955593198,SMS Retention Offer
3071-VBYPO,4G,89.85,High Value,0.5373721955593198,SMS Retention Offer
5312-UXESG,4G,98.05,High Value,0.5345777143209438,SMS Retention Offer
9752-ZNQUT,3G,48.6,Low Value,0.5344052380092588,SMS Retention Offer
0224-RLWWD,3G,44.3,Low Value,0.5336581512791222,SMS Retention Offer
2074-GUHPQ,4G,92.7,High Value,0.5336003110570479,SMS Retention Offer
4236-UJPWO,3G,24.5,Low Value,0.5331468968798628,SMS Retention Offer
4521-YEEHE,4G,88.85,High Value,0.5329286265657536,SMS Retention Offer
7339-POGZN,3G,50.7,Low Value,0.5326436147570408,SMS Retention Offer
3420-ZDBMA,4G,71.45,Medium Value,0.5321439589904543,SMS Retention Offer
4059-IIEBK,4G,78.55,Medium Value,0.5320007921533502,SMS Retention Offer
5207-PLSTK,3G,48.75,Low Value,0.5314742035265002,SMS Retention Offer
2275-RBYQS,3G,45.4,Low Value,0.5313131295511768,SMS Retention Offer
1552-AAGRX,4G,106.4,High Value,0.5311553990535622,SMS Retention Offer
6022-KOUQO,3G,29.05,Low Value,0.5310851739908222,SMS Retention Offer
3088-LHEFH,4G,79.0,Medium Value,0.530977110054991,SMS Retention Offer
9360-OMDZZ,4G,94.1,High Value,0.5306702084112336,SMS Retention Offer
4029-HPFVY,4G,70.3,Medium Value,0.5305061807803688,SMS Retention Offer
4854-CIDCF,4G,73.85,Medium Value,0.5293256977807657,SMS Retention Offer
6705-LXORM,4G,70.05,Medium Value,0.5277431694975337,SMS Retention Offer
4647-MUZON,4G,95.95,High Value,0.5264259823060835,SMS Retention Offer
9398-MMQTO,4G,74.45,Medium Value,0.526383553592489,SMS Retention Offer
8286-AFUYI,3G,47.95,Low Value,0.5262649490116481,SMS Retention Offer
0030-FNXPP,Voice Only,19.85,Low Value,0.5261392593130142,SMS Retention Offer
5399-ZIMKF,4G,74.65,Medium Value,0.5254333777832855,SMS Retention Offer
8563-OYMQY,4G,90.95,High Value,0.5254142018254867,SMS Retention Offer
5600-KTXFM,4G,69.95,Medium Value,0.525370019778766,SMS Retention Offer
6158-HDPXZ,3G,25.35,Low Value,0.5251341642281205,SMS Retention Offer
0644-OQMDK,4G,70.65,Medium Value,0.5251166596149316,SMS Retention Offer
2507-QZPQS,4G,95.7,High Value,0.5249884456291621,SMS Retention Offer
6519-CFDBX,3G,45.4,Low Value,0.523859724312386,SMS Retention Offer
1636-NTNCO,3G,50.95,Low Value,0.5237779795717745,SMS Retention Offer
9244-ZVAPM,3G,45.6,Low Value,0.5235849244229717,SMS Retention Offer
3566-HJGPK,3G,45.55,Low Value,0.5235849244229717,SMS Retention Offer
6257-RJOHI,3G,50.8,Low Value,0.5234161489293512,SMS Retention Offer
4343-EJVQB,4G,74.35,Medium Value,0.5230269195520085,SMS Retention Offer
9919-KNPOO,4G,94.3,High Value,0.52285552726276,SMS Retention Offer
8617-ENBDS,4G,73.6,Medium Value,0.5225710408682139,SMS Retention Offer
1666-JXLKU,4G,100.05,High Value,0.5225368668223683,SMS Retention Offer
7048-GXDAY,4G,106.4,High Value,0.5220294656265823,SMS Retention Offer
0623-GDISB,3G,48.45,Low Value,0.5216392805624502,SMS Retention Offer
6817-WTYHE,3G,44.9,Low Value,0.5215898652712415,SMS Retention Offer
0570-BFQHT,4G,80.55,Medium Value,0.5211176195511963,SMS Retention Offer
9389-ACWBI,4G,69.95,Medium Value,0.5209861205557907,SMS Retention Offer
0082-OQIQY,4G,94.2,High Value,0.5196866742474098,SMS Retention Offer
2542-HYGIQ,Voice Only,19.95,Low Value,0.5195472670066043,SMS Retention Offer
6286-SUUWT,Voice Only,19.95,Low Value,0.5195472670066043,SMS Retention Offer
4137-BTIKL,4G,90.75,High Value,0.5194142259967299,SMS Retention Offer
1379-FRVEB,4G,91.0,High Value,0.5193591776479586,SMS Retention Offer
5937-EORGB,4G,96.5,High Value,0.5175865852576848,SMS Retention Offer
1456-TWCGB,3G,49.25,Low Value,0.5172712292892521,SMS Retention Offer
3086-RUCRN,4G,103.1,High Value,0.5164407577284295,SMS Retention Offer
2209-XADXF,3G,25.25,Low Value,0.5144314615254177,SMS Retention Offer
4195-NZGTA,3G,25.25,Low Value,0.5144314615254177,SMS Retention Offer
1658-TJVOA,4G,74.1,Medium Value,0.5142028298275071,SMS Retention Offer
0674-EYYZV,3G,54.65,Low Value,0.514099696027472,SMS Retention Offer
2657-VPXTA,4G,88.85,High Value,0.5137261976763222,SMS Retention Offer
9272-LSVYH,4G,70.15,Medium Value,0.5127278234120821,SMS Retention Offer
1816-FLZDK,3G,29.15,Low Value,0.5122304435591868,SMS Retention Offer
3427-GGZZI,4G,89.1,High Value,0.512183957090959,SMS Retention Offer
8224-DWCKX,4G,73.3,Medium Value,0.5121644696457339,SMS Retention Offer
1391-UBDAR,4G,72.9,Medium Value,0.5119812892350984,SMS Retention Offer
2325-NBPZG,4G,74.55,Medium Value,0.5118320332192107,SMS Retention Offer
8873-GLDMH,4G,73.85,Medium Value,0.511693804965541,SMS Retention Offer
4537-DKTAL,3G,45.55,Low Value,0.510872711325373,SMS Retention Offer
2043-WVTQJ,3G,55.7,Low Value,0.5106286375756947,SMS Retention Offer
7394-LWLYN,4G,70.15,Medium Value,0.5103727115189318,SMS Retention Offer
1763-WQFUK,3G,50.5,Low Value,0.5099104626537667,SMS Retention Offer
9108-EJFJP,3G,53.55,Low Value,0.5099086569943215,SMS Retention Offer
