customerID,Network_Type,tenure,Tenure_Decile,Contract,Revenue_Stability,ARPU,Monthly_Revenue_Velocity,Product_Density_Score,Subscriber_Status,LTV,Migration_Target_Label,Revenue_Weight,Customer_Segment
8605-ITULD,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.55,19.55,1,Active,19.55,Retain,0.00004,Low Value
3930-ZGWVE,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.75,19.75,1,Active,19.75,Retain,0.00004,Low Value
7302-ZHMHP,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.15,19.15,1,Active,19.15,Retain,0.00004,Low Value
2369-FEVNO,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.9,19.90,1,Active,19.9,Retain,0.00004,Low Value
4892-VLANZ,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.8,19.80,1,Churned/Inactive,19.8,Churn,0.00004,Low Value
2676-ISHSF,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.3,20.30,1,Active,20.3,Retain,0.00004,Low Value
5906-BFOZT,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.5,19.50,1,Active,19.5,Retain,0.00004,Low Value
1725-MIMXW,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.45,19.45,1,Churned/Inactive,19.45,Churn,0.00004,Low Value
3115-CZMZD,Voice Only,0,1,Two year,Contractual (Stable),20.25,NULL,1,Active,0,Retain,0.00004,Low Value
5562-BETPV,Voice Only,1,1,One year,Contractual (Stable),19.65,19.65,1,Active,19.65,Retain,0.00004,Low Value
6579-JPICP,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.4,20.40,1,Active,20.4,Retain,0.00004,Low Value
9103-CXVOK,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.75,19.75,1,Active,19.75,Retain,0.00004,Low Value
3785-NRHYR,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.65,19.65,1,Active,19.65,Retain,0.00004,Low Value
3807-XHCJH,Voice Only,1,1,Month-to-month,At-Will (High Risk),20,20.00,1,Active,20,Retain,0.00004,Low Value
5028-HTLJB,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.05,20.05,1,Churned/Inactive,20.05,Churn,0.00004,Low Value
8562-GHPPI,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.8,19.80,1,Active,19.8,Retain,0.00004,Low Value
8262-COGGB,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.45,20.45,1,Active,20.45,Retain,0.00004,Low Value
2876-VBBBL,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.25,20.25,1,Churned/Inactive,20.25,Churn,0.00004,Low Value
2923-ARZLG,Voice Only,0,1,One year,Contractual (Stable),19.7,NULL,1,Active,0,Retain,0.00004,Low Value
1135-LMECX,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.85,19.85,1,Active,19.85,Retain,0.00004,Low Value
8992-CEUEN,Voice Only,1,1,Month-to-month,At-Will (High Risk),18.85,18.85,1,Active,18.85,Retain,0.00004,Low Value
6469-MRVET,Voice Only,1,1,One year,Contractual (Stable),20.2,20.20,1,Active,20.2,Retain,0.00004,Low Value
1099-GODLO,Voice Only,1,1,Two year,Contractual (Stable),20.35,20.35,1,Active,20.35,Retain,0.00004,Low Value
8203-XJZRC,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.25,20.25,1,Active,20.25,Retain,0.00004,Low Value
3148-BLQJT,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.1,20.10,1,Churned/Inactive,20.1,Churn,0.00004,Low Value
4786-UKSNZ,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.2,20.20,1,Churned/Inactive,20.2,Churn,0.00004,Low Value
8749-CLJXC,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.05,20.05,1,Active,20.05,Retain,0.00004,Low Value
6615-ZGEDR,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.7,19.70,1,Churned/Inactive,19.7,Churn,0.00004,Low Value
7310-EGVHZ,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.2,20.20,1,Active,20.2,Retain,0.00004,Low Value
8559-WNQZS,Voice Only,1,1,Two year,Contractual (Stable),20.45,20.45,1,Active,20.45,Retain,0.00004,Low Value
4697-LUPSU,Voice Only,2,1,One year,Contractual (Stable),20.2,17.38,1,Active,40.4,Retain,0.00004,Low Value
6849-WLEYG,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.75,19.75,1,Churned/Inactive,19.75,Churn,0.00004,Low Value
8566-YPRGL,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.5,19.50,1,Active,19.5,Retain,0.00004,Low Value
3727-JEZTU,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.4,20.40,1,Active,20.4,Retain,0.00004,Low Value
7239-HZZCX,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.75,19.75,1,Churned/Inactive,19.75,Churn,0.00004,Low Value
7853-WNZSY,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.75,19.75,1,Active,19.75,Retain,0.00004,Low Value
0107-WESLM,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.85,19.85,1,Churned/Inactive,19.85,Churn,0.00004,Low Value
3717-OFRTN,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.75,19.75,1,Active,19.75,Retain,0.00004,Low Value
6837-BJYDQ,Voice Only,3,2,One year,Contractual (Stable),19.6,20.45,1,Active,58.800000000000004,Retain,0.00004,Low Value
1156-ZFYDO,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.75,19.75,1,Active,19.75,Retain,0.00004,Low Value
9174-FKWZE,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.45,19.45,1,Churned/Inactive,19.45,Churn,0.00004,Low Value
1194-SPVSP,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.65,19.65,1,Active,19.65,Retain,0.00004,Low Value
2668-TZSPS,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.45,20.45,1,Active,20.45,Retain,0.00004,Low Value
2002-MZHWP,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.5,20.50,1,Churned/Inactive,20.5,Churn,0.00004,Low Value
2866-IKBTM,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.55,19.55,1,Active,19.55,Retain,0.00004,Low Value
1663-MHLHE,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.2,19.20,1,Active,19.2,Retain,0.00004,Low Value
1407-DIGZV,Voice Only,3,2,Two year,Contractual (Stable),19.1,17.33,1,Active,57.300000000000004,Retain,0.00004,Low Value
4588-YBNIB,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.6,19.60,1,Churned/Inactive,19.6,Churn,0.00004,Low Value
6124-ACRHJ,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.75,19.75,1,Active,19.75,Retain,0.00004,Low Value
4255-DDUOU,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.5,20.50,1,Churned/Inactive,20.5,Churn,0.00004,Low Value
7291-CDTMJ,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.65,19.65,1,Active,19.65,Retain,0.00004,Low Value
1724-IQWNM,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.3,19.30,1,Active,19.3,Retain,0.00004,Low Value
0673-IGUQO,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.45,20.45,1,Active,20.45,Retain,0.00004,Low Value
4291-HPAXL,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.85,19.85,1,Active,19.85,Retain,0.00004,Low Value
1336-EZFZY,Voice Only,4,2,Month-to-month,At-Will (High Risk),20.05,20.82,1,Active,80.2,Retain,0.00004,Low Value
1029-QFBEN,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.55,19.55,1,Churned/Inactive,19.55,Churn,0.00004,Low Value
2465-BLLEU,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.75,19.75,1,Active,19.75,Retain,0.00004,Low Value
1622-HSHSF,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.55,19.55,1,Active,19.55,Retain,0.00004,Low Value
2967-MXRAV,Voice Only,1,1,One year,Contractual (Stable),18.8,18.80,1,Active,18.8,Retain,0.00004,Low Value
1240-KNSEZ,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.1,20.10,1,Churned/Inactive,20.1,Churn,0.00004,Low Value
4661-NJEUX,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.05,20.05,1,Active,20.05,Retain,0.00004,Low Value
3247-MHJKM,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.2,20.20,1,Active,20.2,Retain,0.00004,Low Value
9929-PLVPA,Voice Only,4,2,Month-to-month,At-Will (High Risk),20.4,23.63,1,Active,81.6,Retain,0.00004,Low Value
0247-SLUJI,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.7,19.70,1,Active,19.7,Retain,0.00004,Low Value
7814-LEEVE,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.3,20.30,1,Active,20.3,Retain,0.00004,Low Value
5356-RHIPP,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.2,20.20,1,Churned/Inactive,20.2,Churn,0.00004,Low Value
1015-OWJKI,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.05,19.05,1,Active,19.05,Retain,0.00004,Low Value
4760-XOHVN,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.45,19.45,1,Churned/Inactive,19.45,Churn,0.00004,Low Value
2081-KJSQF,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.25,20.25,1,Active,20.25,Retain,0.00004,Low Value
5766-ZJYBB,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.4,19.40,1,Churned/Inactive,19.4,Churn,0.00004,Low Value
1179-INLAT,Voice Only,3,2,One year,Contractual (Stable),19.45,23.08,1,Active,58.349999999999994,Retain,0.00004,Low Value
1423-BMPBQ,Voice Only,1,1,Month-to-month,At-Will (High Risk),19,19.00,1,Active,19,Retain,0.00004,Low Value
3090-QFUVD,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.3,20.30,1,Active,20.3,Retain,0.00004,Low Value
1934-SJVJK,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.15,20.15,1,Churned/Inactive,20.15,Churn,0.00004,Low Value
2832-SCUCO,Voice Only,2,1,Month-to-month,At-Will (High Risk),19.9,28.70,1,Active,39.8,Retain,0.00004,Low Value
1349-WXNGG,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.05,20.05,1,Churned/Inactive,20.05,Churn,0.00004,Low Value
7096-UCLNH,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.05,20.05,1,Active,20.05,Retain,0.00004,Low Value
3308-MHOOC,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.2,19.20,1,Active,19.2,Retain,0.00004,Low Value
0754-EEBDC,Voice Only,4,2,Two year,Contractual (Stable),19.9,19.16,1,Active,79.6,Retain,0.00004,Low Value
7926-IJOOU,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.3,19.30,1,Active,19.3,Retain,0.00004,Low Value
2955-PSXOE,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.2,20.20,1,Churned/Inactive,20.2,Churn,0.00004,Low Value
6654-QGBZZ,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.9,19.90,1,Active,19.9,Retain,0.00004,Low Value
4237-CLSMM,Voice Only,2,1,Month-to-month,At-Will (High Risk),20,19.00,1,Active,40,Retain,0.00004,Low Value
2592-YKDIF,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.35,20.35,1,Active,20.35,Retain,0.00004,Low Value
9374-YOLBJ,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.25,19.25,1,Active,19.25,Retain,0.00004,Low Value
7989-CHGTL,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.6,19.60,1,Churned/Inactive,19.6,Churn,0.00004,Low Value
6231-WFGFH,Voice Only,4,2,Month-to-month,At-Will (High Risk),20.5,19.40,1,Active,82,Retain,0.00004,Low Value
1066-JKSGK,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.15,20.15,1,Churned/Inactive,20.15,Churn,0.00004,Low Value
8329-IBCTI,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.65,19.65,1,Churned/Inactive,19.65,Churn,0.00004,Low Value
6141-OOXUQ,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.65,19.65,1,Churned/Inactive,19.65,Churn,0.00004,Low Value
9137-NOQKA,Voice Only,2,2,Month-to-month,At-Will (High Risk),19.2,18.60,1,Active,38.4,Retain,0.00004,Low Value
8048-DSDFQ,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.2,20.20,1,Active,20.2,Retain,0.00004,Low Value
8305-VHZBZ,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.2,20.20,1,Churned/Inactive,20.2,Churn,0.00004,Low Value
3590-TCXTB,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.35,20.35,1,Active,20.35,Retain,0.00004,Low Value
7196-LIWRH,Voice Only,6,2,Two year,Contractual (Stable),19.55,20.74,1,Active,117.30000000000001,Retain,0.00004,Low Value
2542-HYGIQ,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.95,19.95,1,Active,19.95,Retain,0.00004,Low Value
4667-OHGKG,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.3,19.30,1,Churned/Inactive,19.3,Churn,0.00004,Low Value
9441-QHEVC,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.1,19.10,1,Active,19.1,Retain,0.00004,Low Value
1755-RMCXH,Voice Only,2,2,Month-to-month,At-Will (High Risk),20.3,20.13,1,Active,40.6,Retain,0.00004,Low Value
1905-OEILC,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.5,19.50,1,Active,19.5,Retain,0.00004,Low Value
3845-FXCYS,Voice Only,2,1,Month-to-month,At-Will (High Risk),19.65,15.60,1,Active,39.3,Retain,0.00004,Low Value
6121-VZNQB,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.1,19.10,1,Churned/Inactive,19.1,Churn,0.00004,Low Value
5850-BDWCY,Voice Only,6,2,Month-to-month,At-Will (High Risk),20.2,20.61,1,Active,121.19999999999999,Retain,0.00004,Low Value
1963-VAUKV,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.4,20.40,1,Churned/Inactive,20.4,Churn,0.00004,Low Value
7721-DVEKZ,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.65,19.65,1,Active,19.65,Retain,0.00004,Low Value
9962-BFPDU,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.05,20.05,1,Active,20.05,Retain,0.00004,Low Value
7017-VFULY,Voice Only,2,2,Month-to-month,At-Will (High Risk),20.1,21.57,1,Active,40.2,Retain,0.00004,Low Value
2239-CFOUJ,Voice Only,1,1,One year,Contractual (Stable),20.4,20.40,1,Active,20.4,Retain,0.00004,Low Value
2410-CIYFZ,Voice Only,2,1,Month-to-month,At-Will (High Risk),20.4,21.45,1,Active,40.8,Retain,0.00004,Low Value
6286-SUUWT,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.95,19.95,1,Active,19.95,Retain,0.00004,Low Value
1345-GKDZZ,Voice Only,6,3,Month-to-month,At-Will (High Risk),19.55,21.43,1,Active,117.30000000000001,Retain,0.00004,Low Value
3506-LCJDC,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.95,19.95,1,Churned/Inactive,19.95,Churn,0.00004,Low Value
5515-IDEJJ,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.9,19.90,1,Churned/Inactive,19.9,Churn,0.00004,Low Value
9629-NHXFW,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.4,19.40,1,Active,19.4,Retain,0.00004,Low Value
2342-CKIAO,Voice Only,2,2,Month-to-month,At-Will (High Risk),20.3,20.60,1,Active,40.6,Retain,0.00004,Low Value
8073-IJDCM,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.3,20.30,1,Churned/Inactive,20.3,Churn,0.00004,Low Value
5067-DGXLL,Voice Only,2,2,Month-to-month,At-Will (High Risk),20.25,18.40,1,Active,40.5,Retain,0.00004,Low Value
4986-MXSFP,Voice Only,2,2,Month-to-month,At-Will (High Risk),20,20.45,1,Active,40,Retain,0.00004,Low Value
3077-RSNTJ,Voice Only,6,3,Month-to-month,At-Will (High Risk),19.7,18.92,1,Active,118.19999999999999,Retain,0.00004,Low Value
2654-VBVPB,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.9,19.90,1,Active,19.9,Retain,0.00004,Low Value
6598-RFFVI,Voice Only,2,2,One year,Contractual (Stable),19.3,14.15,1,Churned/Inactive,38.6,Churn,0.00004,Low Value
5857-XRECV,Voice Only,2,1,One year,Contractual (Stable),20.5,19.13,1,Active,41,Retain,0.00004,Low Value
0178-CIIKR,Voice Only,3,2,Month-to-month,At-Will (High Risk),19.95,19.33,1,Active,59.849999999999994,Retain,0.00004,Low Value
7601-WFVZV,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.55,19.55,1,Active,19.55,Retain,0.00004,Low Value
1051-GEJLJ,Voice Only,2,2,Month-to-month,At-Will (High Risk),19.5,13.78,1,Active,39,Retain,0.00004,Low Value
1493-AMTIE,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.2,20.20,1,Churned/Inactive,20.2,Churn,0.00004,Low Value
6671-NGWON,Voice Only,7,3,Month-to-month,At-Will (High Risk),20.35,21.51,1,Active,142.45000000000002,Retain,0.00004,Low Value
0670-KDOMA,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.25,20.25,1,Active,20.25,Retain,0.00004,Low Value
9700-ZCLOT,Voice Only,2,2,Month-to-month,At-Will (High Risk),20,16.35,1,Active,40,Retain,0.00004,Low Value
1098-TDVUQ,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.25,19.25,1,Active,19.25,Retain,0.00004,Low Value
8189-DUKMV,Voice Only,4,2,One year,Contractual (Stable),20.5,19.76,1,Active,82,Retain,0.00004,Low Value
4800-VHZKI,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.9,19.90,1,Churned/Inactive,19.9,Churn,0.00004,Low Value
9101-NTIXF,Voice Only,2,2,Month-to-month,At-Will (High Risk),19.4,25.30,1,Active,38.8,Retain,0.00004,Low Value
6776-TLWOI,Voice Only,3,2,Month-to-month,At-Will (High Risk),19.85,21.52,1,Churned/Inactive,59.550000000000004,Churn,0.00004,Low Value
8295-FHIVV,Voice Only,7,3,Month-to-month,At-Will (High Risk),19.4,24.09,1,Active,135.79999999999998,Retain,0.00004,Low Value
8974-OVACP,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.15,20.15,1,Active,20.15,Retain,0.00004,Low Value
2393-DIVAI,Voice Only,3,2,Month-to-month,At-Will (High Risk),20,20.57,1,Active,60,Retain,0.00004,Low Value
1796-JANOW,Voice Only,2,2,Month-to-month,At-Will (High Risk),19.95,19.07,1,Active,39.9,Retain,0.00004,Low Value
5144-PQCDZ,Voice Only,4,2,Month-to-month,At-Will (High Risk),19.95,14.81,1,Active,79.8,Retain,0.00004,Low Value
4897-QSUYC,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.15,20.15,1,Churned/Inactive,20.15,Churn,0.00004,Low Value
9770-LXDBK,Voice Only,3,2,Month-to-month,At-Will (High Risk),20.4,21.05,1,Active,61.199999999999996,Retain,0.00004,Low Value
5143-WMWOG,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.95,19.95,1,Churned/Inactive,19.95,Churn,0.00004,Low Value
2926-JEJJC,Voice Only,8,3,One year,Contractual (Stable),20.2,17.62,1,Active,161.6,Retain,0.00004,Low Value
4877-EVATK,Voice Only,1,1,Month-to-month,At-Will (High Risk),20,20.00,1,Churned/Inactive,20,Churn,0.00004,Low Value
3195-TQDZX,Voice Only,3,2,Month-to-month,At-Will (High Risk),20.25,20.48,1,Active,60.75,Retain,0.00004,Low Value
7298-IZWLY,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.4,19.40,1,Active,19.4,Retain,0.00004,Low Value
5687-DKDTV,Voice Only,4,2,Month-to-month,At-Will (High Risk),20.35,19.38,1,Churned/Inactive,81.4,Churn,0.00004,Low Value
0927-CNGRH,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.55,19.55,1,Active,19.55,Retain,0.00004,Low Value
0690-SRQID,Voice Only,4,2,Month-to-month,At-Will (High Risk),19.65,16.89,1,Active,78.6,Retain,0.00004,Low Value
3039-MJSLN,Voice Only,3,2,Month-to-month,At-Will (High Risk),20.2,16.87,1,Active,60.599999999999994,Retain,0.00004,Low Value
2017-CCBLH,Voice Only,8,3,Two year,Contractual (Stable),20,17.70,1,Active,160,Retain,0.00004,Low Value
1064-FBXNK,Voice Only,1,1,One year,Contractual (Stable),19.85,19.85,1,Active,19.85,Retain,0.00004,Low Value
2495-TTHBQ,Voice Only,4,2,One year,Contractual (Stable),20.4,21.19,1,Active,81.6,Retain,0.00004,Low Value
5173-ZXXXL,Voice Only,2,2,One year,Contractual (Stable),19.95,23.85,1,Active,39.9,Retain,0.00004,Low Value
6806-YDEUL,Voice Only,6,3,Month-to-month,At-Will (High Risk),19.5,17.80,1,Active,117,Retain,0.00004,Low Value
7617-EYGLW,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.45,19.45,1,Active,19.45,Retain,0.00004,Low Value
6469-QJKZW,Voice Only,4,2,Month-to-month,At-Will (High Risk),20.15,22.85,1,Active,80.6,Retain,0.00004,Low Value
8393-JMVMB,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.45,19.45,1,Active,19.45,Retain,0.00004,Low Value
9483-GCPWE,Voice Only,9,3,One year,Contractual (Stable),20.1,21.14,1,Active,180.9,Retain,0.00004,Low Value
9318-NKNFC,Voice Only,1,1,Month-to-month,At-Will (High Risk),18.85,18.85,1,Churned/Inactive,18.85,Churn,0.00004,Low Value
7762-ONLJY,Voice Only,6,3,One year,Contractual (Stable),19.7,15.74,1,Active,118.19999999999999,Retain,0.00004,Low Value
3030-ZKIWL,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.05,20.05,1,Active,20.05,Retain,0.00004,Low Value
4541-RMRLG,Voice Only,7,3,Month-to-month,At-Will (High Risk),19.25,16.04,1,Churned/Inactive,134.75,Churn,0.00004,Low Value
4781-ZXYGU,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.15,20.15,1,Active,20.15,Retain,0.00004,Low Value
3097-PYWXL,Voice Only,4,2,Month-to-month,At-Will (High Risk),19.95,20.73,1,Active,79.8,Retain,0.00004,Low Value
0137-UDEUO,Voice Only,3,2,Month-to-month,At-Will (High Risk),19.85,21.25,1,Churned/Inactive,59.550000000000004,Churn,0.00004,Low Value
4568-TTZRT,Voice Only,9,3,Month-to-month,At-Will (High Risk),20.4,20.20,1,Active,183.6,Retain,0.00004,Low Value
3900-AQPHZ,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.9,19.90,1,Churned/Inactive,19.9,Churn,0.00004,Low Value
4719-UMSIY,Voice Only,6,3,Month-to-month,At-Will (High Risk),19.65,16.82,1,Active,117.89999999999999,Retain,0.00004,Low Value
5066-GFJMM,Voice Only,3,2,Month-to-month,At-Will (High Risk),19.9,15.25,1,Active,59.699999999999996,Retain,0.00004,Low Value
5624-RYAMH,Voice Only,9,3,Month-to-month,At-Will (High Risk),19.5,19.87,1,Active,175.5,Retain,0.00004,Low Value
0761-AETCS,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.3,19.30,1,Churned/Inactive,19.3,Churn,0.00004,Low Value
5702-SKUOB,Voice Only,4,2,Month-to-month,At-Will (High Risk),19.6,23.36,1,Active,78.4,Retain,0.00004,Low Value
0871-OPBXW,Voice Only,2,1,Month-to-month,At-Will (High Risk),20.05,19.63,1,Active,40.1,Retain,0.00004,Low Value
0221-NAUXK,Voice Only,10,3,One year,Contractual (Stable),19.95,21.95,1,Active,199.5,Retain,0.00004,Low Value
7698-YFGEZ,Voice Only,1,1,Month-to-month,At-Will (High Risk),20,20.00,1,Active,20,Retain,0.00004,Low Value
4797-MIWUM,Voice Only,7,3,Month-to-month,At-Will (High Risk),20.25,24.96,1,Active,141.75,Retain,0.00004,Low Value
4211-MMAZN,Voice Only,1,1,Month-to-month,At-Will (High Risk),20.25,20.25,1,Churned/Inactive,20.25,Churn,0.00004,Low Value
1991-VOPLL,Voice Only,9,3,Month-to-month,At-Will (High Risk),19.05,17.52,1,Active,171.45000000000002,Retain,0.00004,Low Value
7551-JOHTI,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.5,19.50,1,Churned/Inactive,19.5,Churn,0.00004,Low Value
5619-XZZKR,Voice Only,4,2,One year,Contractual (Stable),19.95,17.05,1,Active,79.8,Retain,0.00004,Low Value
3345-JHUEO,Voice Only,4,2,Month-to-month,At-Will (High Risk),20.2,13.93,1,Active,80.8,Retain,0.00004,Low Value
0114-RSRRW,Voice Only,10,3,Month-to-month,At-Will (High Risk),19.95,18.77,1,Active,199.5,Retain,0.00004,Low Value
9975-SKRNR,Voice Only,1,1,Month-to-month,At-Will (High Risk),18.9,18.90,1,Active,18.9,Retain,0.00004,Low Value
1386-ZIKUV,Voice Only,7,3,Month-to-month,At-Will (High Risk),18.95,18.65,1,Active,132.65,Retain,0.00004,Low Value
2792-VPPET,Voice Only,3,2,Month-to-month,At-Will (High Risk),20.5,25.65,1,Active,61.5,Retain,0.00004,Low Value
1494-EJZDW,Voice Only,10,3,Two year,Contractual (Stable),20.15,22.08,1,Active,201.5,Retain,0.00004,Low Value
7878-RTCZG,Voice Only,1,1,Month-to-month,At-Will (High Risk),19.9,19.90,1,Active,19.9,Retain,0.00004,Low Value
